Order,Family,Species,ZooMS_taxon,COL1a1_508_520,COLa1_2_978_990,COLa1_2_978_990_16,COL1a2_484___499,COL1a2_502___519,COL1a2_292___309,COL1a2_793___816,COL1a2_454___483,COL1a1_586___618,COL1a1_586___618_16,COL1a2_757___789,COL1a2_757___789_16
Artiodactyla,Phocoenidae,Neophocaena asiaeorientalis asiaeorientalis,Yangtze finless porpoise,1079.6,1189.6,1205.6,1453.7,1550.8,1652.8,2119.1,,2883.4,2899.4,3007.5,3023.5
Carnivora,Mustelidae,Neovison vison,American mink,1105.6,1219.7,1235.6,1453.7,1566.8,1593.8,2147.1,,2853.4,2869.4,2983.5,2999.5
Primates,Hylobatidae,Nomascus leucogenys,Northern white-cheeked gibbon,1105.6,1219.7,1235.6,1477.8,1580.8,1619.8,2115.1,,2883.4,2899.4,2957.5,2973.5
Carnivora,Canidae,Nyctereutes procyonoides,Raccoon dog,1105.6,1210.7,1226.6,1453.7,1566.8,1593.8,2145.1,,2853.4,2869.4,2943.5,2959.5
Primates,Lorisidae,Nycticebus coucang,Slow loris,1105.6,1191.6,1207.6,1477.8,1566.8,1583.7,2117.1,,2869.4,2885.4,2957.5,2973.5
Lagomorpha,Ochotonidae,Ochotona curzoniae,Black-lipped pika,1105.6,1191.6,1207.6,1427.7,1592.8,1606.8,2129.1,,2883.4,2899.4,3023.5,3039.5
Lagomorpha,Ochotonidae,Ochotona princeps,Southern American pika,1105.6,1191.6,1207.6,1427.7,1592.8,1606.8,2147.1,,2883.4,2899.4,2997.5,3013.5
Rodentia,Octodontidae,Octodon degus,Degu,1105.6,1145.6,1161.6,1427.7,1594.8,1637.8,2133.1,,2883.4,2899.4,2983.5,2999.5
Carnivora,Odobenidae,Odobenus rosmarus divergens,Pacific walrus,1105.6,1205.6,1221.6,1453.7,1566.8,1639.8,2121.1,,2853.4,2869.4,3003.5,3019.5
Artiodactyla,Cervidae,Odocoileus virginianus texanus,Odocoileus virginianus texanus,1105.6,1180.6,1196.6,1427.7,1580.8,1648.8,2131.1,,2883.4,2899.4,3043.5,3059.5
Rodentia,Cricetidae,Onychomys torridus,Southern grasshopper mouse,1105.6,1187.6,1203.6,1468.8,1552.7,1578.8,2143.2,,2883.4,2899.4,3017.5,3033.5
Artiodactyla,Delphinidae,Orcinus orca,Killer whale,1079.6,1189.6,1205.6,1453.7,1566.8,1652.8,2119.1,,2883.4,2899.4,3007.5,3023.5
Monotremata,Ornithorhynchidae,Ornithorhynchus anatinus,Duckbill platypus,1120.6,1182.6,1198.6,1453.7,1607.8,1679.8,2121.1,,2912.4,2928.4,2999.5,3015.5
Tubulidentata,Orycteropodidae,Orycteropus afer afer,Aardvarks,1105.6,1161.6,1177.6,1463.7,1595.8,1647.8,2105.1,,2896.4,2912.4,2969.5,2985.5
Lagomorpha,Leporidae,Oryctolagus cuniculus,Rabbit,1105.6,1205.6,1221.6,1453.7,1566.8,1592.8,2129.1,,2883.4,2899.4,2957.5,2973.5
Artiodactyla,Bovidae,Oryx dammah,Scimitar-horned oryx,1105.6,1180.6,1196.6,1427.7,1580.8,1648.8,2131.1,,2883.4,2899.4,3043.5,3059.5
Primates,Galagidae,Otolemur garnettii,Small-eared galago,1105.6,1218.6,1234.6,1477.8,1566.8,1625.8,2101.1,,2869.4,2885.4,2927.5,2943.5
Artiodactyla,Bovidae,Ovis aries,Sheep,1105.6,1180.6,1196.6,1427.7,1580.8,1648.8,2131.1,,2883.4,2899.4,3017.5,3033.5
Primates,Hominidae,Pan paniscus,Pygmy chimpanzee,1105.6,1219.7,1235.6,1477.8,1580.8,1619.8,2115.1,,2869.4,2885.4,2957.5,2973.5
Primates,Hominidae,Pan troglodytes,Chimpanzee,1105.6,1219.7,1235.6,1477.8,1580.8,1619.8,2115.1,,2869.4,2885.4,2957.5,2973.5
Carnivora,Felidae,Panthera leo,Lion,1105.6,1207.6,1223.6,1453.7,1566.8,1593.8,2147.1,,2853.4,2869.4,2983.5,2999.5
Carnivora,Felidae,Panthera onca,Jaguar,1105.6,1207.6,1223.6,1453.7,1566.8,1593.8,2147.1,,2853.4,2869.4,2983.5,2999.5
Carnivora,Felidae,Panthera pardus,Leopard,1105.6,1207.6,1223.6,1453.7,1566.8,1593.8,2147.1,,2853.4,2869.4,2983.5,2999.5
Carnivora,Felidae,Panthera tigris,Tiger,1105.6,1207.6,1223.6,1453.7,1566.8,1593.8,2147.1,,2853.4,2869.4,2983.5,2999.5
Carnivora,Felidae,Panthera uncia,Snow leopard,1105.6,1207.6,1223.6,1453.7,1566.8,1593.8,2147.1,,2853.4,2869.4,2983.5,2999.5
Primates,Cercopithecidae,Papio anubis,Olive baboon,1105.6,1219.7,1235.6,1413.7,1580.8,1619.8,2129.1,,2883.4,2899.4,2957.5,2973.5
Rodentia,Heteromyidae,Perognathus longimembris pacificus,Pacific pocket mouse,1105.6,1161.6,1177.6,1453.7,1566.8,1609.8,2175.1,,2911.4,2927.4,2983.5,2999.5
Rodentia,Cricetidae,Peromyscus californicus insignis,Peromyscus californicus insignis,1105.6,1187.6,1203.6,1468.8,1552.7,1578.8,2143.2,,2883.4,2899.4,3017.5,3033.5
Rodentia,Cricetidae,Peromyscus leucopus,White-footed mouse,1105.6,1187.6,1203.6,1468.8,1552.7,1578.8,2143.2,,2883.4,2899.4,3017.5,3033.5
Rodentia,Cricetidae,Peromyscus maniculatus bairdii,Prairie deer mouse,1105.6,1187.6,1203.6,1468.8,1552.7,1578.8,2143.2,,2883.4,2899.4,3017.5,3033.5
Diprotodontia,Phascolarctidae,Phascolarctos cinereus,Koala,1162.6,1159.6,1175.6,1397.7,1598.8,1691.8,2145.1,,2869.4,2885.4,2959.5,2975.5
Carnivora,Phocidae,Phoca vitulina,Harbor seal,1105.6,1205.6,1221.6,1453.7,1566.8,1639.8,2171.1,,2869.4,2885.4,2957.5,2973.5
Artiodactyla,Phocoenidae,Phocoena sinus,Vaquita,1079.6,1189.6,1205.6,1453.7,1550.8,1652.8,2119.1,,2883.4,2899.4,3007.5,3023.5
Rodentia,Cricetidae,Phodopus roborovskii,Roborovski's desert hamster,1105.6,1187.6,1203.6,1453.7,1566.8,1578.8,2129.1,,2883.4,2899.4,3029.5,3045.5
Chiroptera,Phyllostomidae,Phyllostomus hastatus,Greater spear-nosed bat,1105.6,1205.6,1221.6,1453.7,1608.8,1591.8,2119.1,,2869.4,2885.4,2957.5,2973.5
Artiodactyla,Physeteridae,Physeter catodon,Sperm whale,1079.6,1189.6,1205.6,1453.7,1550.8,1652.8,2133.1,,2883.4,2899.4,3023.5,3039.5
Primates,Cercopithecidae,Piliocolobus tephrosceles,Ugandan red Colobus,1105.6,1219.7,1235.6,1451.7,1580.8,1619.8,2115.1,,2883.4,2899.4,2957.5,2973.5
Primates,Hominidae,Pongo pygmaeus,Bornean orangutan,1105.6,1219.7,1235.6,1477.8,1580.8,1619.8,2115.1,,2883.4,2899.4,2957.5,2973.5
Carnivora,Felidae,Prionailurus viverrinus,Fishing cat,1105.6,1207.6,1223.6,1453.7,1566.8,1593.8,2147.1,,2853.4,2869.4,2983.5,2999.5
Primates,Indriidae,Propithecus coquereli,Coquerel's sifaka,1105.6,1205.6,1221.6,1455.8,1580.8,1609.8,2131.1,,2883.4,2899.4,2973.5,2989.5
Rodentia,Muridae,Psammomys obesus,Fat sand rat,1105.6,1187.6,1203.6,1453.7,1566.8,1592.8,2145.1,,2857.4,2873.4,2957.5,2973.5
Chiroptera,Mormoopidae,Pteronotus parnellii mesoamericanus,Pteronotus parnellii mesoamericanus,1105.6,1232.6,1248.6,1453.7,1594.8,1561.8,2103.1,,2883.4,2899.4,2957.5,2973.5
Chiroptera,Pteropodidae,Pteropus alecto,Black flying fox,1105.6,1219.7,1235.6,1453.7,1594.8,1609.8,2131.1,,2869.4,2885.4,2983.5,2999.5
Chiroptera,Pteropodidae,Pteropus giganteus,Indian flying fox,1105.6,1219.7,1235.6,1453.7,1594.8,1609.8,2131.1,,2869.4,2885.4,2983.5,2999.5
Artiodactyla,Cervidae,Rangifer tarandus,Reeinder,1105.6,1150.6,1166.6,1427.7,1580.8,1648.8,2131.1,,2883.4,2899.4,3077.5,3093.5
Rodentia,Muridae,Rattus norvegicus,Rat,1105.6,1187.6,1203.6,1453.7,1566.8,1592.8,2143.2,,2883.4,2899.4,2987.5,3003.5
Rodentia,Muridae,Rattus rattus,Black rat,1105.6,1187.6,1203.6,1453.7,1566.8,1592.8,2143.2,,2883.4,2899.4,2957.5,2973.5
Chiroptera,Rhinolophidae,Rhinolophus sinicus,Chinese rufous horseshoe bat,1105.6,1219.7,1235.6,1453.7,1594.8,1580.8,2163.1,,2883.4,2899.4,2983.5,2999.5
Primates,Cercopithecidae,Rhinopithecus bieti,Black snub-nosed monkey,1105.6,1219.7,1235.6,1451.7,1580.8,1619.8,2115.1,,2883.4,2899.4,2957.5,2973.5
Primates,Cercopithecidae,Rhinopithecus roxellana,Golden snub-nosed monkey,1105.6,1219.7,1235.6,1451.7,1580.8,1619.8,2115.1,,2883.4,2899.4,2957.5,2973.5
Chiroptera,Pteropodidae,Rousettus aegyptiacus,Egyptian rousette,1105.6,1219.7,1235.6,1453.7,1594.8,1619.8,2131.1,,2869.4,2885.4,2983.5,2999.5
Primates,Cebidae,Saimiri boliviensis boliviensis,Bolivian squirrel monkey,1105.6,1219.7,1235.6,1439.7,1550.8,1619.8,2129.1,,2883.4,2899.4,2957.5,2973.5
Primates,Cebidae,Sapajus apella,Brown-capped capuchin,1091.6,1219.7,1235.6,1453.7,1580.8,1619.8,2129.1,,2869.4,2885.4,2957.5,2973.5
Dasyuromorphia,Dasyuridae,Sarcophilus harrisii,Tasmanian devil,1162.6,1159.6,1175.6,1453.7,1598.8,1709.8,2177.1,,2885.4,2901.4,2929.5,2945.5
Rodentia,Sciuridae,Sciurus carolinensis,Eastern gray squirrel,1105.6,1191.6,1207.6,1453.7,1578.8,1609.8,2143.2,,2883.4,2899.4,2983.5,2999.5
Eulipotyphla,Soricidae,Sorex araneus,Eurasian common shrew,1105.6,1205.6,1221.6,1453.7,1550.8,1680.8,2145.1,,2869.4,2885.4,3010.5,3026.5
Eulipotyphla,Soricidae,Sorex fumeus,Smoky shrew,1105.6,1232.6,1248.6,1453.7,1550.8,1654.8,2145.1,,2869.4,2885.4,3010.5,3026.5
Chiroptera,Phyllostomidae,Sturnira hondurensis,Sturnira hondurensis,1105.6,1205.6,1221.6,1453.7,1608.8,1578.8,2119.1,,2883.4,2899.4,2957.5,2973.5
Eulipotyphla,Soricidae,Suncus etruscus,Etruscan shrew,1105.6,1210.7,1226.6,1453.7,1565.8,1650.8,2175.1,,2869.4,2885.4,3043.5,3059.5
Carnivora,Herpestidae,Suricata suricatta,Meerkat,1105.6,1207.6,1223.6,1427.7,1566.8,1593.8,2163.1,,2853.4,2869.4,2957.5,2973.5
Artiodactyla,Suidae,Sus scrofa,Pig,1105.6,1180.6,1196.6,1453.7,1550.8,1647.8,2131.1,,2883.4,2899.4,3017.5,3033.5
Primates,Hylobatidae,Symphalangus syndactylus,Siamang,1105.6,1219.7,1235.6,1477.8,1580.8,1619.8,2115.1,,2883.4,2899.4,2957.5,2973.5
Monotremata,Tachyglossidae,Tachyglossus aculeatus,Short-beaked echidna,1120.6,1182.6,1198.6,1453.7,1607.8,1637.8,2121.1,,2873.4,2889.4,2999.5,3015.5
Eulipotyphla,Talpidae,Talpa occidentalis,Iberian mole,1105.6,1205.6,1221.6,1453.7,1566.8,1668.8,2209.1,,2869.4,2885.4,2969.5,2985.5
Primates,Cercopithecidae,Theropithecus gelada,Gelada baboon,1105.6,1219.7,1235.6,1427.7,1580.8,1619.8,2129.1,,2883.4,2899.4,2957.5,2973.5
Primates,Cercopithecidae,Trachypithecus francoisi,Francois' leaf monkey,1105.6,1219.7,1235.6,1451.7,1580.8,1619.8,2115.1,,2883.4,2899.4,2957.5,2973.5
Diprotodontia,Phalangeridae,Trichosurus vulpecula,Brush-tailed possum,1162.6,1159.6,1175.6,1453.7,1598.8,1637.8,2145.1,,2897.4,2913.4,2945.5,2961.5
Scandentia,Tupaiidae,Tupaia chinensis,Chinese tree shrew,1105.6,1217.7,1233.7,1453.7,1593.8,1619.8,2129.1,,2883.4,2899.4,2943.5,2959.5
Artiodactyla,Delphinidae,Tursiops truncatus,Atlantic bottle-nosed dolphin,1079.6,1189.6,1205.6,1453.7,1566.8,1638.8,2119.1,,2883.4,2899.4,3007.5,3023.5
Rodentia,Sciuridae,Urocitellus parryii,Arctic ground squirrel,1105.6,1177.6,1193.6,1453.7,1578.8,1619.8,2143.2,,2883.4,2899.4,2967.5,2983.5
Carnivora,Ursidae,Ursus arctos,Brown bear,1105.6,1217.7,1233.7,1453.7,1566.8,1593.8,2163.1,,2853.4,2869.4,2957.5,2973.5
Carnivora,Ursidae,Ursus maritimus,Polar bear,1105.6,1217.7,1233.7,1453.7,1566.8,1593.8,2163.1,,2853.4,2869.4,2957.5,2973.5
Artiodactyla,Camelidae,Vicugna pacos,Alpaca,1105.6,1205.6,1221.6,1453.7,1550.8,1634.8,2131.1,,2883.4,2899.4,3017.5,3033.5
Diprotodontia,Vombatidae,Vombatus ursinus,Common wombat,1162.6,1159.6,1175.6,1439.7,1598.8,1665.8,2135.1,,2897.4,2913.4,2959.5,2975.5
Carnivora,Canidae,Vulpes lagopus,Arctic fox,1105.6,1210.7,1226.6,1453.7,1566.8,1593.8,2131.1,,2853.4,2869.4,2983.5,2999.5
Carnivora,Canidae,Vulpes vulpes,Red fox,1105.6,1210.7,1226.6,1437.7,1566.8,1593.8,2131.1,,2853.4,2869.4,2983.5,2999.5
Carnivora,Otariidae,Zalophus californianus,California sealion,1105.6,1205.6,1221.6,1453.7,1566.8,1639.8,2121.1,,2853.4,2869.4,2957.5,2973.5
