Order,Family,Species,ZooMS_taxon,COL1a2_978_990,COL1a2_604_618,COL1a2_502_519,COL1a2_889_906,COL1a2_889_906,COL1a2_175_192,COL1a2_292_309,COL1a2_625_648,COL1a2_625_653,COL1a2_658_687,COL1a2_454_483,COL1a2_757_789,COL1a2_10_42,COL1a2_10_42,COL1a2_520_555,COL1a2_520_555
Passeriformes,Pipridae,Chiroxiphia Lanceolata,lance-tailed manakin,1220.7,1221.6,1568.8,1592.8,1608.8,1626.8,1596.8,2108.0,2466.2,2509.3,2777.3,2927.5,3097.4,3113.4,3150.5,3166.5
Otidiformes,Otididae,Chlamydotis Macqueenii,Macqueen's bustard,1220.7,1221.6,1578.8,1550.8,1566.8,1603.8,1566.8,2108.0,2466.2,2495.3,2804.3,2927.5,3097.4,3113.4,3152.5,3168.5
Charadriiformes,Laridae,Chroicocephalus Ridibundus,Black-headed gull,1220.7,1221.6,1552.8,1550.8,1566.8,1603.8,1609.8,2108.0,2466.2,2531.2,2777.3,2927.5,3097.4,3113.4,3206.5,3222.5
Strigiformes,Strigidae,Ciccaba Nigrolineata,Ciccaba Nigrolineata,1220.7,1221.6,1568.8,1578.8,1594.8,1589.8,1579.7,2108.0,2466.2,2497.2,2804.3,2913.5,3097.4,3113.4,3142.4,3158.4
Ciconiiformes,Ciconiidae,Ciconia Maguari,Ciconia Maguari,1220.7,1251.6,1552.8,1578.8,1594.8,1603.8,1596.8,2108.0,2466.2,2497.2,2804.3,2913.5,3111.4,3127.4,3178.5,3194.5
Ciconiiformes,Ciconiidae,Ciconia boyciana,Oriental stork,1220.7,1251.6,1552.8,1578.8,1594.8,1603.8,1596.8,2108.0,2466.2,2497.2,2804.3,2913.5,3111.4,3127.4,3178.5,3194.5
Passeriformes,Cinclidae,Cinclus Cinclus,White-throated dipper,1220.7,1221.6,1578.8,1564.8,1580.8,1589.8,1608.8,2108.0,2466.2,2497.2,2777.3,2927.5,3111.4,3127.4,3156.5,3172.5
Passeriformes,Cisticolidae,Cisticola Juncidis,Cisticola Juncidis,1220.7,1221.6,1552.8,1592.8,1608.8,1603.8,1608.8,2108.0,2466.2,2539.3,2777.3,2927.5,3111.4,3127.4,3166.5,3182.5
Passeriformes,Corvidae,Cnemophilus Loriae,Loria's bird-of-paradise,1220.7,1221.6,1568.8,1592.8,1608.8,1589.8,1608.8,2108.0,2466.2,2509.3,2777.3,2927.5,3120.4,3136.4,3156.5,3172.5
Galliformes,Odontophoridae,Colinus Virginianus,Northern bobwhite,1220.7,1221.6,1594.8,1550.8,1566.8,1603.8,1609.8,2108.0,2466.2,2539.3,2777.3,2927.5,3097.4,3113.4,3182.5,3198.5
